Word,Concreteness,Spec_3,Lg10CD,length,Valence,Arousal,Dominance
bristle,3.96,2.2857142857142856,0.8451,7,0.375,0.375,0.326
broach,3.74,2.2857142857142856,1.2553,6,0.438,0.439,0.675
broadcast,3.46,1.5714285714285714,2.4639,9,0.615,0.587,0.355
broadcasting,3.52,2.142857142857143,2.0864,12,0.542,0.7,0.706
broadside,4.0,1.8571428571428572,1.0792,9,0.459,0.316,0.462
broccoli,4.87,2.428571428571429,1.8388,8,0.469,0.2,0.283
brochure,4.76,2.428571428571429,1.9191,8,0.552,0.226,0.391
broker,4.03,2.428571428571429,2.0719,6,0.582,0.462,0.6
brokerage,3.61,2.142857142857143,1.3617,9,0.479,0.5,0.5
bronco,4.75,3.4285714285714284,1.6128,6,0.5,0.51,0.473
bronze,4.47,2.428571428571429,2.0,6,0.622,0.333,0.526
brooch,4.19,2.2857142857142856,1.4914,6,0.531,0.26,0.38
brood,2.96,1.7142857142857144,1.716,5,0.633,0.519,0.434
brook,4.43,1.7142857142857144,1.8513,5,0.594,0.347,0.412
broom,4.89,2.142857142857143,2.2553,5,0.385,0.154,0.302
broomstick,4.8,1.8571428571428572,1.5185,10,0.41,0.265,0.227
broth,4.68,2.142857142857143,1.6021,5,0.5,0.245,0.168
brothel,4.23,2.0,1.7853,7,0.255,0.886,0.418
brother,4.43,2.571428571428571,3.5793,7,0.823,0.361,0.546
brotherhood,2.58,1.5714285714285714,2.0334,11,0.99,0.471,0.76
brow,4.39,1.8571428571428572,1.8976,4,0.562,0.311,0.481
brownstone,4.4,2.7142857142857144,1.2041,10,0.559,0.423,0.439
bruise,4.73,2.2857142857142856,2.1239,6,0.133,0.64,0.474
brunch,4.41,2.0,2.0334,6,0.406,0.363,0.343
brunette,4.57,2.142857142857143,2.1335,8,0.802,0.528,0.529
brunt,2.21,2.0,1.3979,5,0.204,0.75,0.349
brutality,2.48,2.142857142857143,1.9638,9,0.122,0.832,0.571
brute,3.31,2.571428571428571,2.1271,5,0.115,0.547,0.379
bubble,4.6,2.142857142857143,2.4669,6,0.774,0.213,0.364
buck,4.67,2.428571428571429,2.8439,4,0.677,0.577,0.72
bucket,4.96,2.142857142857143,2.5933,6,0.408,0.167,0.336
buckshot,4.78,2.571428571428571,1.6021,8,0.255,0.74,0.322
buckwheat,4.54,2.2857142857142856,1.3802,9,0.49,0.471,0.434
buddy,3.48,2.2857142857142856,3.3659,5,0.884,0.585,0.655
budget,3.14,2.142857142857143,2.5599,6,0.643,0.396,0.731
buff,3.73,2.2857142857142856,1.9956,4,0.561,0.425,0.361
buffer,2.89,2.428571428571429,1.7076,6,0.52,0.474,0.35
buffet,4.67,2.142857142857143,2.2553,6,0.656,0.546,0.519
buffoon,3.39,2.428571428571429,1.6021,7,0.344,0.651,0.29
bug,5.0,2.428571428571429,2.7664,3,0.286,0.5,0.246
buggy,4.18,2.7142857142857144,1.8751,5,0.5,0.509,0.327
bugle,4.84,2.428571428571429,1.699,5,0.479,0.588,0.391
bugler,4.58,2.7142857142857144,1.2553,6,0.542,0.54,0.393
builder,3.97,2.142857142857143,1.6435,7,0.66,0.642,0.701
building,4.64,1.8571428571428572,3.3824,8,0.705,0.288,0.673
buildup,3.08,2.428571428571429,1.7243,7,0.49,0.509,0.623
bulb,4.93,2.142857142857143,2.1732,4,0.562,0.208,0.3
bulge,3.92,2.0,1.6232,5,0.26,0.487,0.4
bulk,3.24,2.0,1.9638,4,0.469,0.413,0.509
bulkhead,4.17,2.0,1.5441,8,0.312,0.425,0.402
bull,4.85,3.4285714285714284,2.8235,4,0.521,0.64,0.644
bulldog,4.71,3.2857142857142856,1.9345,7,0.494,0.65,0.53
bulldozer,4.9,2.7142857142857144,1.6232,9,0.459,0.549,0.643
bullet,4.83,2.428571428571429,3.003,6,0.408,0.794,0.634
bulletin,4.72,2.0,2.1732,8,0.573,0.294,0.361
bullfighter,4.7,2.142857142857143,1.3617,11,0.448,0.794,0.664
bullfrog,4.9,2.7142857142857144,1.301,8,0.344,0.481,0.422
bullhorn,4.7,2.571428571428571,1.301,8,0.51,0.653,0.736
bullion,4.26,2.428571428571429,1.4771,7,0.693,0.558,0.729
bullshit,2.96,1.8571428571428572,3.1532,8,0.042,0.676,0.183
bully,3.92,2.571428571428571,2.4232,5,0.257,0.755,0.564
bum,4.21,2.428571428571429,2.6812,3,0.281,0.451,0.155
bumblebee,4.96,2.7142857142857144,1.2788,9,0.469,0.493,0.321
bummer,1.97,2.0,2.2672,6,0.163,0.5,0.267
bump,4.1,2.2857142857142856,2.6721,4,0.286,0.458,0.368
bumper,4.96,2.142857142857143,2.1206,6,0.385,0.573,0.518
bun,4.88,2.571428571428571,2.0414,3,0.424,0.306,0.268
bunch,3.5,1.7142857142857144,3.3235,5,0.552,0.358,0.473
bundle,4.22,1.5714285714285714,2.2405,6,0.51,0.343,0.434
bungalow,4.63,2.428571428571429,1.6902,8,0.562,0.352,0.406
bungee,4.39,2.0,1.4472,6,0.637,0.545,0.327
bunghole,3.96,2.2857142857142856,0.9542,8,0.286,0.426,0.396
bunion,4.64,2.571428571428571,1.3802,6,0.276,0.34,0.29
bunk,4.3,2.142857142857143,2.3729,4,0.438,0.332,0.339
bunker,4.79,2.2857142857142856,2.0607,6,0.375,0.673,0.773
bunny,4.97,2.857142857142857,2.5328,5,0.74,0.325,0.194
buoy,4.57,1.8571428571428572,1.4771,4,0.562,0.28,0.284
buoyancy,3.48,2.0,1.2304,8,0.625,0.373,0.538
burden,2.63,2.142857142857143,2.5933,6,0.367,0.583,0.697
bureau,4.04,2.0,2.549,6,0.562,0.373,0.618
bureaucracy,1.64,2.0,1.415,11,0.38,0.578,0.74
bureaucrat,3.86,2.571428571428571,1.4314,10,0.208,0.519,0.598
burger,4.93,2.857142857142857,2.4857,6,0.688,0.568,0.398
burglar,4.44,2.857142857142857,2.1335,7,0.05,0.769,0.404
burglary,3.64,2.428571428571429,2.0253,8,0.146,0.918,0.543
burial,3.93,2.142857142857143,2.2967,6,0.203,0.577,0.333
burlap,4.78,2.0,1.0414,6,0.429,0.462,0.411
burlesque,3.12,1.8571428571428572,1.4771,9,0.327,0.615,0.343
burner,4.78,2.142857142857143,1.8513,6,0.296,0.816,0.446
burr,3.93,2.0,1.3424,4,0.39,0.426,0.308
burrito,5.0,2.0,1.7076,7,0.688,0.294,0.166
burrow,3.67,1.8571428571428572,1.4314,6,0.438,0.28,0.355
bus,4.9,2.142857142857143,3.1895,3,0.407,0.411,0.4
busboy,4.74,2.571428571428571,1.7993,6,0.51,0.453,0.441
bush,4.9,2.2857142857142856,2.6064,4,0.413,0.22,0.315
bushel,4.3,2.142857142857143,1.4472,6,0.417,0.387,0.368
business,3.28,1.8571428571428572,3.7149,8,0.688,0.569,0.755
businessman,4.47,2.428571428571429,2.5132,11,0.653,0.51,0.802
businesswoman,4.35,2.428571428571429,1.415,13,0.719,0.5,0.764
busload,4.12,1.7142857142857144,1.3617,7,0.561,0.481,0.492
buster,2.57,2.571428571428571,2.4265,6,0.469,0.491,0.483
busybody,2.96,2.428571428571429,1.4624,8,0.255,0.634,0.472
butane,4.31,3.4285714285714284,1.1461,6,0.442,0.483,0.38
butcher,4.65,2.571428571428571,2.4654,7,0.5,0.575,0.608
butler,4.63,2.571428571428571,2.2648,6,0.469,0.225,0.438
butt,4.75,2.0,3.1126,4,0.347,0.725,0.336
butter,4.9,2.2857142857142856,2.828,6,0.65,0.292,0.202
buttercup,4.71,2.2857142857142856,1.6532,9,0.562,0.482,0.422
butterfly,4.93,2.571428571428571,2.2718,9,0.892,0.327,0.314
buttermilk,4.68,3.142857142857143,1.6021,10,0.633,0.311,0.304
butterscotch,4.58,2.2857142857142856,1.2788,12,0.708,0.51,0.356
buttery,3.68,2.2857142857142856,1.1461,7,0.625,0.318,0.303
buttock,4.79,1.7142857142857144,1.1761,7,0.429,0.6,0.288
buttocks,4.83,1.7142857142857144,1.8692,8,0.458,0.677,0.365
button,4.96,2.2857142857142856,2.9547,6,0.52,0.22,0.343
buyer,4.36,2.571428571428571,2.2765,5,0.613,0.519,0.649
buzzard,4.74,2.857142857142857,1.8976,7,0.35,0.5,0.225
buzzer,4.66,2.571428571428571,2.1335,6,0.549,0.716,0.48
bylaw,3.0,1.8571428571428572,0.699,5,0.469,0.373,0.725
bypass,3.5,2.142857142857143,2.0969,6,0.429,0.418,0.353
bystander,4.17,2.428571428571429,1.5911,9,0.48,0.462,0.491
byte,2.68,1.8571428571428572,0.8451,4,0.49,0.38,0.407
cab,4.88,2.2857142857142856,2.9832,3,0.438,0.49,0.421
cabana,4.79,2.142857142857143,1.4771,6,0.698,0.296,0.407
cabbage,4.75,2.142857142857143,2.0414,7,0.398,0.225,0.264
cabin,4.92,2.2857142857142856,2.6628,5,0.643,0.292,0.43
cabinet,4.89,2.142857142857143,2.4955,7,0.552,0.306,0.465
cable,4.74,1.7142857142857144,2.7292,5,0.583,0.245,0.434
caboose,4.96,2.2857142857142856,1.415,7,0.44,0.453,0.438
cache,3.8,2.142857142857143,1.415,5,0.552,0.348,0.389
cactus,5.0,2.2857142857142856,1.9345,6,0.439,0.412,0.284
cadaver,4.48,1.8571428571428572,1.5682,7,0.03,0.69,0.26
caddie,4.37,2.571428571428571,1.1761,6,0.521,0.435,0.259
caddy,4.32,2.142857142857143,1.9085,5,0.58,0.47,0.38
cadence,2.7,2.142857142857143,1.1761,7,0.427,0.473,0.355
cadet,4.21,2.571428571428571,1.8129,5,0.504,0.393,0.664
cafe,4.96,2.142857142857143,2.2279,4,0.781,0.392,0.358
cafeteria,4.71,2.142857142857143,2.3404,9,0.757,0.4,0.382
caffeine,4.04,2.7142857142857144,2.0755,8,0.562,0.759,0.5
cage,5.0,2.142857142857143,2.752,4,0.316,0.333,0.352
cahoots,1.96,2.142857142857143,1.3979,7,0.312,0.696,0.474
cake,4.81,1.8571428571428572,3.0785,4,0.81,0.375,0.287
cakewalk,2.64,3.4285714285714284,1.301,8,0.719,0.51,0.447
calamari,4.79,1.8571428571428572,1.3802,8,0.521,0.312,0.406
calamity,2.0,2.0,1.7243,8,0.122,0.795,0.343
calcium,4.07,2.2857142857142856,1.7709,7,0.6,0.346,0.479
calculation,3.0,2.0,1.4771,11,0.646,0.453,0.606
calculator,4.86,2.2857142857142856,1.7243,10,0.513,0.283,0.588
calculus,2.26,1.8571428571428572,1.6021,8,0.36,0.36,0.562
calendar,4.62,1.8571428571428572,2.3617,8,0.48,0.212,0.473
calf,4.48,2.2857142857142856,2.0374,4,0.531,0.366,0.336
caliber,3.0,1.7142857142857144,2.0453,7,0.429,0.551,0.606
calico,4.04,1.8571428571428572,1.1761,6,0.406,0.338,0.491
calipers,4.78,2.2857142857142856,0.301,8,0.48,0.51,0.481
callback,3.27,2.0,1.5185,8,0.524,0.529,0.434
caller,3.96,2.428571428571429,2.2041,6,0.646,0.615,0.472
calligraphy,4.32,1.8571428571428572,1.3424,11,0.62,0.216,0.5
calmness,1.83,1.8571428571428572,0.699,8,0.934,0.105,0.394
calorie,3.44,1.8571428571428572,1.1139,7,0.333,0.54,0.427
camaraderie,2.19,2.0,1.415,11,0.833,0.51,0.648
camcorder,5.0,2.428571428571429,1.4472,9,0.556,0.422,0.454
camel,4.93,2.857142857142857,2.143,5,0.54,0.282,0.314
cameo,3.19,3.4285714285714284,1.3617,5,0.573,0.457,0.509
camera,5.0,2.142857142857143,3.1424,6,0.64,0.288,0.379
cameraman,4.63,2.571428571428571,1.9191,9,0.542,0.452,0.542
camisole,4.81,2.571428571428571,0.699,8,0.497,0.25,0.375
camouflage,4.24,1.8571428571428572,1.8921,10,0.438,0.585,0.45
camp,4.35,2.2857142857142856,3.0394,4,0.622,0.617,0.594
campaign,3.0,2.0,2.6222,8,0.602,0.73,0.823
campaigner,3.52,2.428571428571429,0.9542,10,0.592,0.698,0.821
camper,4.63,2.428571428571429,1.6902,6,0.573,0.529,0.482
campfire,4.79,1.8571428571428572,1.7482,8,0.677,0.509,0.436
camping,4.0,2.142857142857143,2.2695,7,0.653,0.529,0.48
campsite,4.55,2.142857142857143,1.2041,8,0.68,0.49,0.547
campus,4.64,2.142857142857143,2.4594,6,0.604,0.388,0.519
canal,4.68,1.7142857142857144,2.2648,5,0.673,0.259,0.321
canary,4.63,2.571428571428571,1.9868,6,0.582,0.276,0.265
cancellation,2.1,2.2857142857142856,1.7482,12,0.224,0.431,0.389
cancer,3.86,3.0,2.7723,6,0.052,0.694,0.529
candidacy,2.39,2.428571428571429,1.3222,9,0.49,0.657,0.696
candidate,3.81,2.428571428571429,2.444,9,0.596,0.49,0.804
candle,4.86,2.2857142857142856,2.4654,6,0.602,0.221,0.344
candlelight,4.48,2.571428571428571,1.8513,11,0.789,0.294,0.417
candlestick,4.93,2.2857142857142856,1.3802,11,0.448,0.531,0.534
candor,1.96,2.0,1.6902,6,0.74,0.389,0.607
candy,4.83,2.142857142857143,2.9557,5,0.93,0.425,0.384
cane,4.87,2.2857142857142856,2.2122,4,0.459,0.298,0.398
canister,4.93,2.142857142857143,1.5563,8,0.553,0.271,0.403
cannabis,4.69,2.428571428571429,1.3222,8,0.271,0.5,0.564
cannibal,3.82,2.428571428571429,1.6532,8,0.122,0.824,0.48
cannibalism,3.07,2.0,1.3617,11,0.094,0.89,0.583
cannon,4.79,2.2857142857142856,2.4082,6,0.529,0.676,0.811
cannonball,4.8,2.428571428571429,1.699,10,0.344,0.84,0.759
canoe,4.86,2.7142857142857144,1.8865,5,0.542,0.3,0.418
canon,4.56,1.8571428571428572,1.4771,5,0.385,0.519,0.541
canopy,4.52,1.8571428571428572,1.7076,6,0.615,0.264,0.398
cantaloupe,4.76,2.7142857142857144,1.4314,10,0.592,0.212,0.276
canteen,4.88,2.428571428571429,1.7782,7,0.688,0.6,0.514
canvas,4.78,1.8571428571428572,2.2041,6,0.719,0.09,0.364
canvass,4.08,2.0,1.5315,7,0.675,0.356,0.397
canyon,4.81,2.0,2.3464,6,0.468,0.731,0.634
cap,4.59,2.428571428571429,2.7924,3,0.612,0.24,0.375
capability,1.93,1.7142857142857144,1.7482,10,0.833,0.571,0.73
capacity,3.1,1.8571428571428572,2.5224,8,0.719,0.411,0.806
caper,3.74,2.428571428571429,1.7243,5,0.51,0.37,0.326
capital,4.1,1.7142857142857144,2.692,7,0.52,0.5,0.798
capitalism,1.96,1.8571428571428572,1.6435,10,0.448,0.686,0.848
capitulation,1.78,1.8571428571428572,0.7782,12,0.375,0.546,0.615
cappuccino,4.79,2.857142857142857,2.0253,10,0.792,0.279,0.384
capsule,4.52,2.0,1.8195,7,0.583,0.29,0.57
captain,4.19,3.0,3.2519,7,0.552,0.653,0.966
caption,3.93,2.142857142857143,1.2788,7,0.814,0.292,0.379
captive,3.03,2.2857142857142856,1.9912,7,0.235,0.558,0.411
captivity,2.76,2.0,1.7404,9,0.225,0.493,0.387
captor,2.9,2.142857142857143,1.1139,6,0.347,0.625,0.612
car,4.89,2.7142857142857144,3.7122,3,0.776,0.54,0.5
caramel,4.73,2.2857142857142856,1.6721,7,0.901,0.363,0.4
carat,3.93,2.142857142857143,1.2304,5,0.823,0.604,0.676
caravan,4.37,2.2857142857142856,1.6628,7,0.635,0.559,0.455
carbon,4.22,2.142857142857143,2.1847,6,0.604,0.36,0.35
carburetor,4.68,2.2857142857142856,1.6532,10,0.469,0.612,0.555
carcass,4.46,1.8571428571428572,1.8261,7,0.115,0.529,0.309
card,4.9,2.2857142857142856,3.3239,4,0.531,0.269,0.436
cardigan,4.96,2.571428571428571,1.3979,8,0.599,0.324,0.264
cardinal,4.74,3.5714285714285716,1.9345,8,0.583,0.358,0.712
cardiologist,4.48,3.0,1.4914,12,0.458,0.63,0.814
cardiology,3.25,2.7142857142857144,1.2041,10,0.203,0.545,0.605
career,2.54,2.0,3.1781,6,0.74,0.712,0.606
carelessness,1.76,1.7142857142857144,1.4624,12,0.245,0.482,0.33
caretaker,4.24,2.571428571428571,1.8195,9,0.714,0.531,0.759
cargo,4.62,2.0,2.3784,5,0.408,0.444,0.455
caribou,4.92,3.142857142857143,1.1761,7,0.562,0.452,0.342
caricature,3.89,1.7142857142857144,1.1461,10,0.604,0.373,0.383
carnage,3.48,2.7142857142857144,1.6721,7,0.406,0.6,0.558
carnation,3.93,2.7142857142857144,1.4914,9,0.653,0.357,0.431
carnival,4.68,2.2857142857142856,2.2504,8,0.927,0.888,0.555
carousel,4.93,2.571428571428571,1.7076,8,0.704,0.5,0.412
carp,4.62,2.0,1.3617,4,0.531,0.324,0.375
carpentry,3.48,2.142857142857143,1.3617,9,0.561,0.459,0.518
carpet,4.96,2.2857142857142856,2.5855,6,0.52,0.17,0.339
carpeting,4.21,2.2857142857142856,1.4624,9,0.542,0.312,0.444
carriage,4.86,2.571428571428571,2.3838,8,0.65,0.538,0.491
carrier,4.2,2.2857142857142856,2.2068,7,0.533,0.588,0.638
carrot,5.0,2.142857142857143,2.0934,6,0.5,0.235,0.279
cart,4.89,2.571428571428571,2.5132,4,0.52,0.344,0.388
cartel,3.3,2.0,1.6232,6,0.438,0.394,0.602
cartilage,4.71,2.0,1.5051,9,0.438,0.37,0.407
cartography,3.52,2.0,1.0,11,0.52,0.3,0.579
carton,5.0,1.7142857142857144,1.9138,6,0.286,0.186,0.241
cartoon,4.33,1.7142857142857144,2.1271,7,0.867,0.471,0.387
cartridge,4.78,2.142857142857143,1.6128,9,0.458,0.5,0.407
cascade,3.83,1.7142857142857144,1.2553,7,0.735,0.509,0.395
case,3.93,1.7142857142857144,3.689,4,0.427,0.275,0.441
cash,4.48,2.0,3.2833,4,0.867,0.552,0.714
cashier,4.89,2.571428571428571,2.0682,7,0.615,0.413,0.484
cashmere,4.72,1.8571428571428572,1.699,8,0.653,0.452,0.439
casing,4.28,2.142857142857143,1.8976,6,0.458,0.327,0.328
casino,4.77,2.428571428571429,2.5132,6,0.542,0.684,0.568
casket,4.86,2.142857142857143,2.0086,6,0.125,0.49,0.346
casserole,4.87,2.0,1.8129,9,0.57,0.36,0.328
cassette,4.6,2.0,1.8573,8,0.49,0.334,0.355
castaway,3.48,2.2857142857142856,1.0,8,0.208,0.646,0.422
caste,2.67,1.7142857142857144,1.301,5,0.51,0.333,0.374
caster,3.96,2.2857142857142856,0.699,6,0.604,0.67,0.647
castle,4.96,2.571428571428571,2.5832,6,0.68,0.396,0.718
castration,3.53,2.571428571428571,1.2553,10,0.198,0.735,0.381
casualty,2.85,2.428571428571429,2.0755,8,0.235,0.274,0.132
cat,4.86,2.857142857142857,3.1421,3,0.667,0.26,0.37
catalog,4.68,2.428571428571429,2.0682,7,0.561,0.221,0.573
catalogue,4.36,2.0,1.8751,9,0.647,0.327,0.533
catalyst,2.85,2.142857142857143,1.5051,8,0.604,0.509,0.585
catapult,4.43,1.8571428571428572,1.3617,8,0.48,0.83,0.649
cataract,4.38,2.571428571428571,0.8451,8,0.406,0.545,0.549
catastrophe,2.96,2.0,2.017,11,0.146,0.952,0.67
catcher,4.44,3.0,1.9685,7,0.653,0.413,0.54
catchphrase,3.17,3.7142857142857144,1.1139,11,0.698,0.423,0.433
catechism,2.57,2.2857142857142856,1.1461,9,0.656,0.236,0.613
category,2.82,1.5714285714285714,2.2455,8,0.571,0.264,0.521
caterer,4.37,2.571428571428571,1.9031,7,0.55,0.557,0.644
caterpillar,4.87,2.142857142857143,1.5441,11,0.461,0.286,0.33
catfish,4.85,2.0,1.716,7,0.458,0.337,0.296
cathedral,4.86,2.2857142857142856,2.0,9,0.598,0.33,0.643
catheter,4.48,2.2857142857142856,1.5911,8,0.336,0.491,0.373
cathouse,4.48,2.0,1.4314,8,0.327,0.375,0.363
catnip,4.68,2.2857142857142856,1.301,6,0.439,0.381,0.296
cattle,4.64,3.2857142857142856,2.4232,6,0.622,0.34,0.445
catwalk,4.15,2.142857142857143,1.3979,7,0.698,0.436,0.464
caucus,3.11,1.8571428571428572,0.8451,6,0.418,0.311,0.491
cauldron,4.61,2.857142857142857,1.3424,8,0.51,0.486,0.418
cauliflower,5.0,2.428571428571429,1.3802,11,0.448,0.255,0.231
causality,2.04,1.4285714285714286,0.7782,9,0.5,0.378,0.336
causation,1.81,1.7142857142857144,0.9542,9,0.562,0.48,0.567
cause,2.43,2.0,3.6943,5,0.469,0.373,0.486
causeway,4.31,2.0,1.2041,8,0.453,0.382,0.422
caution,2.04,1.7142857142857144,2.3541,7,0.552,0.712,0.547
cavalier,2.63,2.571428571428571,1.5798,8,0.735,0.462,0.713
cavalry,4.08,2.0,2.2718,7,0.667,0.727,0.794
cave,4.96,1.5714285714285714,2.5635,4,0.459,0.333,0.38
caveat,2.0,2.142857142857143,1.1761,6,0.344,0.629,0.484
caveman,4.3,2.2857142857142856,1.6902,7,0.235,0.644,0.482
cavern,4.57,2.428571428571429,1.5185,6,0.323,0.36,0.365
caviar,4.7,2.0,2.1584,6,0.906,0.394,0.481
cavity,4.5,1.8571428571428572,2.0934,6,0.466,0.385,0.379
cayenne,4.22,2.571428571428571,1.3424,7,0.615,0.306,0.355
cedar,4.83,2.7142857142857144,1.699,5,0.56,0.267,0.577
ceiling,4.85,2.142857142857143,2.5453,7,0.52,0.224,0.366
celebration,3.47,1.8571428571428572,2.616,11,0.939,0.824,0.88
celebrity,3.28,2.428571428571429,2.4362,9,0.76,0.619,0.855
celery,4.8,2.2857142857142856,1.8062,6,0.396,0.147,0.223
celibacy,2.4,1.7142857142857144,1.5682,8,0.302,0.276,0.509
cell,4.44,2.428571428571429,3.1644,4,0.541,0.375,0.465
cellar,4.68,2.0,2.3729,6,0.51,0.277,0.406
cellblock,4.0,2.142857142857143,1.3222,9,0.186,0.57,0.5
cellist,4.31,2.571428571428571,1.2788,7,0.667,0.5,0.486
cello,4.96,2.428571428571429,1.6128,5,0.635,0.324,0.528
cellophane,4.54,2.142857142857143,1.4771,10,0.648,0.282,0.289
cellulite,4.55,2.142857142857143,1.5051,9,0.2,0.384,0.256
celluloid,3.74,1.8571428571428572,1.301,9,0.469,0.44,0.425
cement,4.97,2.142857142857143,2.243,6,0.544,0.265,0.527
cemetery,4.93,2.142857142857143,2.4378,8,0.051,0.63,0.417
censorship,1.79,2.428571428571429,1.5315,10,0.219,0.698,0.421
census,3.3,2.2857142857142856,1.6128,6,0.449,0.289,0.553
cent,4.19,2.2857142857142856,2.5575,4,0.439,0.367,0.402
center,3.85,1.8571428571428572,3.099,6,0.643,0.231,0.431
centerpiece,4.62,2.2857142857142856,1.415,11,0.594,0.208,0.52
centimeter,4.13,2.142857142857143,1.0414,10,0.427,0.28,0.38
centralization,2.11,2.428571428571429,0.301,14,0.521,0.44,0.702
centrifuge,4.38,2.142857142857143,0.699,10,0.495,0.622,0.527
century,2.83,1.7142857142857144,2.8621,7,0.407,0.347,0.735
ceramics,4.62,2.142857142857143,1.3617,8,0.573,0.25,0.373
cereal,4.83,2.571428571428571,2.3502,6,0.612,0.206,0.316
cereals,4.72,2.571428571428571,1.3222,7,0.719,0.224,0.311
ceremony,3.57,1.8571428571428572,2.7118,8,0.76,0.559,0.761
certainty,1.59,2.0,2.1038,9,0.781,0.4,0.769
certificate,4.59,1.8571428571428572,2.4742,11,0.786,0.377,0.746
cervix,4.62,1.8571428571428572,1.2788,6,0.429,0.36,0.34
cesspool,4.19,2.857142857142857,1.7324,8,0.167,0.46,0.409
chain,4.55,1.8571428571428572,2.8692,5,0.378,0.5,0.547
chainsaw,4.9,2.7142857142857144,1.4914,8,0.367,0.804,0.636
chair,4.58,2.2857142857142856,3.1915,5,0.562,0.082,0.276
chairman,4.31,2.428571428571429,2.4249,8,0.656,0.567,0.933
chairperson,4.58,2.428571428571429,0.8451,11,0.73,0.657,0.966
chairwoman,4.41,2.428571428571429,0.9542,10,0.719,0.664,0.953
chalet,4.36,2.428571428571429,1.2553,6,0.653,0.349,0.278
chalice,4.83,2.7142857142857144,1.0792,7,0.633,0.286,0.529
chalk,4.9,2.571428571428571,2.1584,5,0.385,0.185,0.121
challenge,2.11,1.7142857142857144,2.8457,9,0.469,0.922,0.713
challenger,2.68,2.2857142857142856,1.7076,10,0.417,0.755,0.652
chamber,4.59,2.142857142857143,2.601,7,0.583,0.373,0.455
chambermaid,4.4,2.7142857142857144,1.3802,11,0.594,0.375,0.336
chameleon,4.68,2.142857142857143,1.3222,9,0.49,0.58,0.345
champ,3.29,2.428571428571429,2.4409,5,0.854,0.754,0.896
champagne,4.82,3.7142857142857144,2.9279,9,0.76,0.6,0.454
champion,3.82,2.428571428571429,2.7093,8,0.89,0.88,0.945
championship,3.23,1.8571428571428572,2.3617,12,0.833,0.8,0.88
chance,1.64,1.8571428571428572,3.7279,6,0.833,0.551,0.525
chancellor,4.2,3.0,1.6902,10,0.646,0.5,0.887
chandelier,4.79,2.0,1.7404,10,0.615,0.542,0.366
changer,3.41,2.142857142857143,1.2041,7,0.583,0.519,0.567
channel,4.18,2.0,2.8615,7,0.49,0.287,0.405
chant,4.0,2.571428571428571,1.9191,5,0.771,0.698,0.65
chaos,2.79,1.8571428571428572,2.5416,5,0.016,0.923,0.373
chap,3.9,2.2857142857142856,2.3598,4,0.55,0.41,0.345
chapel,4.6,2.142857142857143,2.243,6,0.573,0.24,0.44
chaperon,4.0,2.428571428571429,1.4472,8,0.5,0.52,0.404
chaplain,4.33,2.571428571428571,1.8808,8,0.582,0.37,0.577
chaps,4.62,2.2857142857142856,1.959,5,0.35,0.462,0.35
chapter,3.43,2.142857142857143,2.6253,7,0.58,0.308,0.461
character,2.93,2.142857142857143,3.0682,9,0.667,0.373,0.686
characteristic,2.38,2.142857142857143,1.7634,14,0.583,0.328,0.538
charade,1.93,1.8571428571428572,2.0043,7,0.458,0.55,0.346
charcoal,4.85,2.571428571428571,1.8325,8,0.302,0.186,0.342
chardonnay,4.56,2.571428571428571,1.5682,10,0.677,0.567,0.492
charge,2.96,2.142857142857143,3.4275,6,0.51,0.633,0.785
charger,4.39,3.4285714285714284,1.6021,7,0.531,0.418,0.545
chariot,4.86,2.7142857142857144,1.8692,7,0.684,0.55,0.491
charisma,2.07,2.2857142857142856,1.6021,8,0.938,0.591,0.759
charity,2.62,2.142857142857143,2.7316,7,0.92,0.284,0.551
charm,2.76,2.0,2.7767,5,0.833,0.363,0.649
charmer,2.54,2.7142857142857144,1.7404,7,0.882,0.683,0.782
chart,4.48,1.5714285714285714,2.5315,5,0.469,0.317,0.33
charter,3.15,1.8571428571428572,2.0374,7,0.677,0.382,0.518
chase,3.48,2.142857142857143,2.9754,5,0.396,0.878,0.623
chaser,3.35,2.428571428571429,1.8062,6,0.375,0.83,0.645
chasm,4.24,2.428571428571429,1.2041,5,0.265,0.579,0.5
chastisement,2.11,2.142857142857143,0.699,12,0.156,0.852,0.462
chastity,2.0,2.2857142857142856,1.7482,8,0.469,0.392,0.509
chat,3.66,1.8571428571428572,2.8096,4,0.729,0.4,0.346
chateau,4.39,2.571428571428571,1.8451,7,0.615,0.464,0.702
chatter,3.33,2.0,2.2695,7,0.56,0.45,0.347
chatterbox,3.04,2.857142857142857,1.3802,10,0.459,0.548,0.482
chauffeur,4.43,1.7142857142857144,2.1732,9,0.5,0.353,0.471
chauvinist,2.75,2.571428571428571,1.3802,10,0.31,0.539,0.527
cheapskate,3.26,2.7142857142857144,1.415,10,0.148,0.482,0.327
cheater,2.1,2.428571428571429,1.8633,7,0.104,0.92,0.333
checkbook,4.97,1.7142857142857144,1.9445,9,0.552,0.284,0.364
checker,4.04,2.571428571428571,1.5911,7,0.33,0.417,0.553
checkers,4.89,2.2857142857142856,1.8865,8,0.676,0.451,0.437
checklist,4.61,2.0,1.5051,9,0.561,0.521,0.552
checkout,3.96,2.428571428571429,1.7559,8,0.597,0.51,0.67
checkpoint,3.62,2.0,1.7709,10,0.571,0.323,0.812
