Word,Concreteness,Spec_3,Lg10CD,length,Valence,Arousal,Dominance
adjournment,2.82,2.2857142857142856,1.0,11,0.438,0.51,0.37
adjudication,2.35,1.8571428571428572,0.9031,12,0.551,0.462,0.691
adjunct,2.19,1.5714285714285714,0.8451,7,0.459,0.44,0.426
adjuster,3.23,2.428571428571429,1.2553,8,0.51,0.54,0.76
adjustment,2.81,2.142857142857143,2.1139,10,0.59,0.52,0.661
administration,2.78,2.142857142857143,2.4579,14,0.625,0.404,0.786
administrator,3.89,2.428571428571429,1.8388,13,0.538,0.48,0.902
admiral,4.11,3.142857142857143,2.2601,7,0.844,0.49,0.847
admiration,1.86,1.8571428571428572,2.0,10,0.969,0.583,0.726
admirer,2.93,2.2857142857142856,2.0969,7,0.796,0.72,0.65
admissibility,1.65,1.8571428571428572,0.6021,13,0.802,0.58,0.602
admission,2.83,2.142857142857143,2.2175,9,0.802,0.415,0.732
admittance,2.26,2.2857142857142856,1.415,10,0.69,0.451,0.598
adobe,4.19,2.571428571428571,1.1761,5,0.5,0.319,0.328
adolescence,2.81,1.8571428571428572,1.6232,11,0.487,0.694,0.444
adoption,3.03,2.2857142857142856,2.1492,8,0.625,0.566,0.589
adoration,2.19,2.0,1.415,9,0.885,0.699,0.708
adornment,2.83,1.8571428571428572,0.6021,9,0.918,0.373,0.377
adrenalin,3.17,4.0,1.3802,9,0.865,0.92,0.786
adrenaline,3.04,4.0,2.1106,10,0.765,0.965,0.825
adult,4.4,2.142857142857143,2.7589,5,0.815,0.491,0.787
adulterer,2.96,2.428571428571429,1.1139,9,0.229,0.814,0.407
adultery,2.79,2.2857142857142856,1.8633,8,0.12,0.922,0.51
adulthood,2.5,1.8571428571428572,1.5315,9,0.541,0.454,0.652
advance,2.57,2.0,2.8162,7,0.673,0.472,0.858
advancement,2.1,1.8571428571428572,1.7709,11,0.776,0.65,0.839
advantage,2.0,1.7142857142857144,2.9633,9,0.917,0.548,0.859
advent,2.48,2.142857142857143,1.2788,6,0.665,0.56,0.627
adventure,2.59,2.142857142857143,2.6693,9,0.917,0.857,0.71
adventurer,3.73,2.142857142857143,1.5185,10,0.781,0.839,0.868
adversary,2.93,2.142857142857143,1.8325,9,0.349,0.777,0.457
adversity,1.44,2.0,1.6902,9,0.276,0.76,0.538
advertisement,3.77,1.7142857142857144,1.7243,13,0.6,0.566,0.539
advertising,3.88,1.7142857142857144,2.3729,11,0.622,0.608,0.632
advice,2.73,1.7142857142857144,3.2253,6,0.698,0.408,0.688
advisement,2.52,2.142857142857143,1.5798,10,0.698,0.235,0.655
adviser,3.67,2.428571428571429,1.6628,7,0.745,0.362,0.705
advisor,4.15,2.428571428571429,2.1644,7,0.646,0.35,0.689
advocacy,2.0,2.142857142857143,1.1761,8,0.5,0.646,0.731
advocate,2.72,2.142857142857143,1.9868,8,0.551,0.53,0.818
aeration,2.77,1.5714285714285714,0.301,8,0.55,0.5,0.433
aerial,3.04,2.571428571428571,1.9912,6,0.615,0.461,0.463
aerobics,3.72,2.571428571428571,1.7404,8,0.708,0.771,0.627
aerodynamics,2.96,2.571428571428571,1.2304,12,0.59,0.663,0.722
aeronautics,3.08,2.428571428571429,0.8451,11,0.551,0.633,0.688
aerospace,3.19,1.7142857142857144,1.5441,9,0.643,0.52,0.779
aesthetics,2.22,2.2857142857142856,1.1461,10,0.847,0.327,0.549
affair,2.45,2.428571428571429,2.9217,6,0.52,0.459,0.657
affection,2.22,1.7142857142857144,2.525,9,0.898,0.559,0.696
affidavit,4.0,2.571428571428571,1.8129,9,0.469,0.584,0.526
affiliation,1.93,1.7142857142857144,1.3979,11,0.615,0.594,0.5
affirmation,2.12,2.0,1.415,11,0.75,0.5,0.689
