Variable,Abstract,Concrete
Concreteness,0.9923283100740721,1.0608962656131888
Specificity,0.413725318989385,0.37937407130596085
Lg10CD,0.7034620226810804,0.5995624560016176
Valence,0.181806125383307,0.14969967210517304
Arousal,0.16621840530851364,0.14151008240354837
Dominance,0.1592835605486782,0.16480119496254492
length,2.1510964599536133,1.6790179044892595
prod.freq.percent,0.29600514796038196,0.27459927513517207
