Variable,Abstract,Concrete
Concreteness,3.6158426966292136,4.238111111111111
Specificity,2.1122448979591835,2.303174603174604
Lg10CD,2.3625077777777777,2.362302222222222
Valence,0.5944941176470588,0.6459101123595505
Arousal,0.4224352941176471,0.3678539325842697
Dominance,0.5152823529411765,0.45952808988764043
length,6.844444444444444,7.033333333333333
prod.freq.percent,0.41904761904761906,0.3738095238095238
